,Published_time,news_content,Published_date
0,2024-02-12 14:00:00,"Để thị trường chứng khoán là kênh huy động vốn hiệu quả Thị trường chứng khoán (TTCK) Việt Nam mặc dù trải qua nhiều biến động nhưng vẫn giữ vững đà tăng trưởng ổn định. Nhân dịp đầu Xuân năm mới 2024, Chủ tịch UBCKNN Vũ Thị Chân Phương đã trả lời phỏng vấn Thời báo Ngân hàng về các giải pháp điều hành và quản",2024-02-12
1,2024-01-29 09:57:00,"Thị trường chứng khoán miệt mài ""dò đáy"", Trung Quốc đình chỉ cho vay cổ phiếu bị hạn chế, có hiệu lực ngay lập tức Động thái này sẽ “làm nổi bật sự công bằng và hợp lý, giảm hiệu quả cho vay chứng khoán và hạn chế lợi thế của các tổ chức trong việc sử dụng thông tin và công cụ, giúp tất cả các nhà đầu tư có thêm thời gian để tiếp thu thông tin thị trường và tạo ra thị trường công bằng hơn”, Ủy ban Điều tiết Chứng khoán Trung Quốc (CSRC) cho biết.",2024-01-29
2,2024-01-26 00:10:00,"""Sớm nhất thị trường chứng khoán Việt Nam sẽ được nâng hạng vào tháng 9 năm nay, hỗ trợ VN-Index vượt 1.400 điểm"" Theo Chứng khoán Maybank, trong trường hợp thuận lợi nhất, Việt Nam sẽ được chính thức nâng hạng sớm nhất trong kỳ đánh giá tháng 9/2024 hoặc muộn hơn là tháng 3/2025.",2024-01-26
3,2024-01-23 19:05:00,"Thị trường chứng khoán Việt Nam sẽ như nào khi được thăng hạng? Nâng hạng thị trường chứng khoán từ thị trường cận biên lên thị trường mới nổi trước năm 2025 là một trong những mục tiêu lớn mà Chính phủ đang hướng tới. Do đó, năm 2024 kì vọng có những chuyển biến tích cực, bởi đây là năm quan trọng để đảm bảo “tiến độ” nâng hạng của TTCK Việt Nam.",2024-01-23
4,2024-01-23 15:01:00,"Chủ tịch KIM Việt Nam: Tiềm năng phát triển của nền kinh tế và thị trường chứng khoán Việt Nam còn rất lớn Trao đổi trong Talk show Phố Tài Chính (The Finance Street Talk Show) trên VTV8, ông Yun Hang Jin, Chủ tịch HĐTV Công ty Quản lý Quỹ KIM Việt Nam đã có những chia sẻ về triển vọng đầu tư năm 2024.",2024-01-23
5,2024-01-22 13:45:00,"""Tiền ngoại"" khiến thị trường chứng khoán từng bị mô tả là “ngủ quên” này tiếp tục thăng hoa trong năm mới Các nhà đầu tư toàn cầu, bao gồm nhiều nhà đầu tư Trung Quốc, đang tiếp tục đổ tiền vào TTCK Nhật Bản trong bối cảnh đồng yên yếu hơn còn Ngân hàng Trung ương Nhật Bản (BOJ) đang thúc đẩy chấm dứt chính sách lãi suất âm.",2024-01-22
6,2024-01-17 09:33:00,"Nhật Bản trỗi dậy sau 30 năm ngủ quên: Thị trường chứng khoán như 'lên đồng', nghề môi giới thành 'hàng nóng' với mức lương 205.000 USD Những nhà môi giới chứng khoán lâu năm ở Nhật Bản được đề nghị mức lương đến 205.000 USD/năm nhưng chưa chắc đã tuyển nổi. Thị trường được đánh giá là đang sôi động hơn bao giờ hết.",2024-01-17
7,2024-01-09 14:08:00,"Chủ tịch UBCKNN đưa 6 giải pháp để thị trường chứng khoán ngày càng trở thành kênh huy động vốn trung và dài hạn hiệu quả Trong Talk Show Phố Tài Chính, bà Vũ Thị Chân Phương, Chủ tịch UBCKNN cho biết, Ủy ban Chứng khoán Nhà nước sẽ tiếp tục thực hiện tốt công tác triển khai các giải pháp đã được quy định trong đề án Chiến lược phát triển thị trường chứng khoán Việt Nam đến năm 2030, đồng thời thực hiện thêm một loạt giải pháp cụ thể khác để đảm bảo thị trường hoạt động ổn định, công bằng, công khai và phát triển bền vững.",2024-01-09
8,2024-01-04 20:48:00,"Dòng tiền tỷ USD bất ngờ đổ vào thị trường chứng khoán Áp lực chốt lời dù có phần gia tăng vào cuối phiên giao dịch hôm nay (4/1), nhưng với sự hỗ trợ của nhóm cổ phiếu ngân hàng, VN-Index vẫn có phiên tăng điểm tích cực. Đáng chú ý, thanh khoản thị trường bất ngờ đạt mức 1,2 tỷ USD trong bối cảnh thị trường giao dịch lình xình cả tháng.",2024-01-04
9,2024-01-02 13:59:00,"Trả hồ sơ vụ cựu Chủ tịch FLC Trịnh Văn Quyết thao túng thị trường chứng khoán Xét thấy cần phải điều tra bổ sung để bảo đảm việc truy tố, VKSND Tối cao quyết định trả hồ sơ vụ án Trịnh Văn Quyết và đồng phạm thao túng thị trường chứng khoán.",2024-01-02
