Published_time,news_content,news_headline
2024-02-25 23:32:00,"Góc nhìn tuần 26/02 - 01/03: Điều chỉnh để tích lũy?: Theo Chứng khoán Phú Hưng, thị trường đang trong nhịp điều chỉnh kỹ thuật nhằm củng cố cho xu hướng phục hồi chính.",Góc nhìn tuần 26/02 - 01/03: Điều chỉnh để tích lũy?
2024-02-24 20:00:00,Chứng khoán phái sinh tuần 26/02-01/03/2024: Khối ngoại quay đầu bán ròng mạnh: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 23/02/2024. VN30-Index giảm điểm kèm theo khối lượng giao dịch có sự gia tăng...,Chứng khoán phái sinh tuần 26/02-01/03/2024: Khối ngoại quay đầu bán ròng mạnh
2024-02-23 12:26:00,Phân tích kỹ thuật phiên chiều 23/02: Tâm lý lạc quan quay trở lại: VN-Index tăng điểm trong phiên sáng cùng khối lượng giao dịch ở mức cao và dự kiến sẽ vượt mức trung bình 20 ngày khi kết thúc phiên cho thấy tâm lý...,Phân tích kỹ thuật phiên chiều 23/02: Tâm lý lạc quan quay trở lại
2024-02-22 18:13:00,"Nhóm Dragon Capital bán tiếp 1 triệu cp GEX, chính thức rời ghế cổ đông lớn: Nhóm Dragon Capital vừa bán ra 1 triệu cp GEX của CTCP Tập đoàn GELEX trong ngày 16/02, qua đó hạ tỷ lệ sở hữu xuống dưới ngưỡng 5% và rời ghế cổ...","Nhóm Dragon Capital bán tiếp 1 triệu cp GEX, chính thức rời ghế cổ đông lớn"
2024-02-22 06:00:00,22/02: Đọc gì trước giờ giao dịch chứng khoán?: Cùng điểm lại những tin tức tài chính kinh tế trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch hôm nay.,22/02: Đọc gì trước giờ giao dịch chứng khoán?
2024-02-21 13:44:00,"Hai lãnh đạo VSDC từ chức : Ngày 20/02/2024, Bộ Tài chính đã có quyết định về việc cho từ chức người quản lý doanh nghiệp đối với 2 lãnh đạo của Tổng Công ty Lưu ký và Bù trừ...",Hai lãnh đạo VSDC từ chức 
2024-02-20 18:28:00,"Theo dấu dòng tiền cá mập 20/02: Tự doanh và khối ngoại ngược chiều: Phiên giao dịch ngày 20/02, tự doanh công ty chứng khoán bán ròng gần 471 tỷ đồng cổ phiếu, trong khi đó khối ngoại mua ròng gần 130 tỷ đồng.",Theo dấu dòng tiền cá mập 20/02: Tự doanh và khối ngoại ngược chiều
2024-02-20 11:11:00,Cổ phiếu SIP được cấp margin trở lại: Sở Giao dịch Chứng khoán TPHCM (HOSE) thông báo đưa cổ phiếu của CTCP Đầu tư Sài Gòn VRG (HOSE: SIP) ra khỏi danh sách chứng khoán không đủ điều kiện...,Cổ phiếu SIP được cấp margin trở lại
2024-02-19 20:30:00,"Chủ tịch Trần Văn Huyên mua thành công 175 ngàn cp NED: Mới đây, Chủ tịch HĐQT Trần Văn Huyên mua thành công thêm 175 ngàn cp, qua đó nâng tỷ lệ sở hữu tại NED lên 6%, tương ứng nắm giữ 2.4 triệu cp.",Chủ tịch Trần Văn Huyên mua thành công 175 ngàn cp NED
2024-02-19 14:02:00,"Lãnh đạo và người thân mua bán gì tuần trước và sau Tết Giáp Thìn?: Thống kê giao dịch trong tuần từ ngày 05-16/02/2024 cho thấy, lượng cổ phiếu được lãnh đạo và người thân bán áp đảo cho những phiên giao dịch cận...",Lãnh đạo và người thân mua bán gì tuần trước và sau Tết Giáp Thìn?
