,Published_time,news_content,news_headline
0,2024-02-25 23:32:00,"Góc nhìn tuần 26/02 - 01/03: Điều chỉnh để tích lũy?: Theo Chứng khoán Phú Hưng, thị trường đang trong nhịp điều chỉnh kỹ thuật nhằm củng cố cho xu hướng phục hồi chính.",Góc nhìn tuần 26/02 - 01/03: Điều chỉnh để tích lũy?
1,2024-02-24 20:00:00,Chứng khoán phái sinh tuần 26/02-01/03/2024: Khối ngoại quay đầu bán ròng mạnh: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 23/02/2024. VN30-Index giảm điểm kèm theo khối lượng giao dịch có sự gia tăng...,Chứng khoán phái sinh tuần 26/02-01/03/2024: Khối ngoại quay đầu bán ròng mạnh
2,2024-02-23 12:26:00,Phân tích kỹ thuật phiên chiều 23/02: Tâm lý lạc quan quay trở lại: VN-Index tăng điểm trong phiên sáng cùng khối lượng giao dịch ở mức cao và dự kiến sẽ vượt mức trung bình 20 ngày khi kết thúc phiên cho thấy tâm lý...,Phân tích kỹ thuật phiên chiều 23/02: Tâm lý lạc quan quay trở lại
3,2024-02-22 18:13:00,"Nhóm Dragon Capital bán tiếp 1 triệu cp GEX, chính thức rời ghế cổ đông lớn: Nhóm Dragon Capital vừa bán ra 1 triệu cp GEX của CTCP Tập đoàn GELEX trong ngày 16/02, qua đó hạ tỷ lệ sở hữu xuống dưới ngưỡng 5% và rời ghế cổ...","Nhóm Dragon Capital bán tiếp 1 triệu cp GEX, chính thức rời ghế cổ đông lớn"
4,2024-02-22 06:00:00,22/02: Đọc gì trước giờ giao dịch chứng khoán?: Cùng điểm lại những tin tức tài chính kinh tế trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch hôm nay.,22/02: Đọc gì trước giờ giao dịch chứng khoán?
5,2024-02-21 13:44:00,"Hai lãnh đạo VSDC từ chức : Ngày 20/02/2024, Bộ Tài chính đã có quyết định về việc cho từ chức người quản lý doanh nghiệp đối với 2 lãnh đạo của Tổng Công ty Lưu ký và Bù trừ...",Hai lãnh đạo VSDC từ chức 
6,2024-02-20 18:28:00,"Theo dấu dòng tiền cá mập 20/02: Tự doanh và khối ngoại ngược chiều: Phiên giao dịch ngày 20/02, tự doanh công ty chứng khoán bán ròng gần 471 tỷ đồng cổ phiếu, trong khi đó khối ngoại mua ròng gần 130 tỷ đồng.",Theo dấu dòng tiền cá mập 20/02: Tự doanh và khối ngoại ngược chiều
7,2024-02-20 11:11:00,Cổ phiếu SIP được cấp margin trở lại: Sở Giao dịch Chứng khoán TPHCM (HOSE) thông báo đưa cổ phiếu của CTCP Đầu tư Sài Gòn VRG (HOSE: SIP) ra khỏi danh sách chứng khoán không đủ điều kiện...,Cổ phiếu SIP được cấp margin trở lại
8,2024-02-19 20:30:00,"Chủ tịch Trần Văn Huyên mua thành công 175 ngàn cp NED: Mới đây, Chủ tịch HĐQT Trần Văn Huyên mua thành công thêm 175 ngàn cp, qua đó nâng tỷ lệ sở hữu tại NED lên 6%, tương ứng nắm giữ 2.4 triệu cp.",Chủ tịch Trần Văn Huyên mua thành công 175 ngàn cp NED
9,2024-02-19 14:02:00,"Lãnh đạo và người thân mua bán gì tuần trước và sau Tết Giáp Thìn?: Thống kê giao dịch trong tuần từ ngày 05-16/02/2024 cho thấy, lượng cổ phiếu được lãnh đạo và người thân bán áp đảo cho những phiên giao dịch cận...",Lãnh đạo và người thân mua bán gì tuần trước và sau Tết Giáp Thìn?
10,2024-02-18 21:00:00,"Góc nhìn tuần 19 - 23/02: Giằng co quanh mốc 1,200?: Chứng khoán Vietcap dự báo phiên 19/02 tới, VN-Index sẽ có những nỗ lực để vượt qua ngưỡng kháng cự tại 1,210 điểm và thị trường có thể tiếp tục...","Góc nhìn tuần 19 - 23/02: Giằng co quanh mốc 1,200?"
11,2024-02-16 19:02:00,"Nhiều năm vướng ý kiến ngoại trừ, PEG nối dài chuỗi ngày bị cảnh báo: Sở Giao dịch Chứng khoán Hà Nội (HNX) thông báo duy trì diện cảnh báo với cổ phiếu của Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP (PETEC...","Nhiều năm vướng ý kiến ngoại trừ, PEG nối dài chuỗi ngày bị cảnh báo"
12,2024-02-16 12:33:00,Phân tích kỹ thuật phiên chiều 16/02: Áp lực chốt lời ngắn hạn xuất hiện: VN-Index tăng điểm kèm theo xuất hiện mẫu hình nến Doji. Điều này cho thấy áp lực bán mạnh diễn ra đã khiến cho chỉ số bị thu hẹp đà tăng trong phiên...,Phân tích kỹ thuật phiên chiều 16/02: Áp lực chốt lời ngắn hạn xuất hiện
13,2024-02-15 18:36:00,Cá mập PYN Elite “hái lộc” đầu năm 2024 nhờ cổ phiếu vua: Thị trường chứng khoán Việt Nam khởi đầu năm mới hanh thông nhờ diễn biến tích cực của nhóm ngân hàng giúp quỹ đầu tư đến từ Phần Lan - PYN Elite ghi...,Cá mập PYN Elite “hái lộc” đầu năm 2024 nhờ cổ phiếu vua
14,2024-02-15 10:00:00,"Tuần 15-16/02/2024: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock: Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACB, BVH, HSG, HDB, MWG, NLG, OCB, STB, VJC và VIC.",Tuần 15-16/02/2024: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock
15,2024-02-14 17:02:00,"Vietstock Weekly 15-16/02/2024: Triển vọng tích cực sẽ duy trì: VN-Index tăng mạnh và xuất hiện mẫu hình nến White Marubozu cho thấy tâm lý phấn khởi của nhà đầu tư. Hiện tại, chỉ báo Stochastic Oscillator và MACD...",Vietstock Weekly 15-16/02/2024: Triển vọng tích cực sẽ duy trì
16,2024-02-12 20:02:00,Luận giải lá số tử vi năm Giáp Thìn 2024 (Kỳ 1): “Xu cát tị hung” là điều các nhà đầu tư cần chú ý trong năm mới. Hãy cùng lắng nghe luận giải lá số tử vi này và những lời khuyên từ các chuyên gia...,Luận giải lá số tử vi năm Giáp Thìn 2024 (Kỳ 1)
17,2024-02-09 20:00:00,"Lãnh đạo giàu nhất sàn chứng khoán Việt là ai?: Bạn nghĩ tỷ phú Phạm Nhật Vượng là người giàu nhất Việt Nam? Điều này có thể đúng, nhưng nếu chỉ xét trên quy mô sàn chứng khoán Việt và dựa trên tỷ...",Lãnh đạo giàu nhất sàn chứng khoán Việt là ai?
18,2024-02-07 17:37:00,"Theo dấu dòng tiền cá mập 07/02: Khối ngoại mua mạnh VND và CTG: Phiên giao dịch ngày 07/02, tự doanh công ty chứng khoán mua ròng gần 57 tỷ đồng, trong khi khối ngoại bán ròng gần 30 tỷ đồng. Đáng chú ý, hai cổ...",Theo dấu dòng tiền cá mập 07/02: Khối ngoại mua mạnh VND và CTG
19,2024-02-07 06:02:00,07/02: Đọc gì trước giờ giao dịch phiên cuối cùng năm Quý Mão?: Cùng điểm lại những tin tức tài chính kinh tế trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch phiên cuối cùng năm Quý Mão...,07/02: Đọc gì trước giờ giao dịch phiên cuối cùng năm Quý Mão?
20,2024-02-06 12:10:00,"Phân tích kỹ thuật phiên chiều 06/02: Tâm lý giằng co chi phối thị trường: VN-Index tăng nhẹ đồng thời xuất hiện mẫu hình nến Doji thân nhỏ cho thấy tâm lý thận trọng của nhà đầu tư. Bên cạnh đó, khối lượng duy trì ở mức...",Phân tích kỹ thuật phiên chiều 06/02: Tâm lý giằng co chi phối thị trường
21,2024-02-05 20:02:00,Cổ phiếu vua “xông đất” sàn chứng trong năm mới: Thị trường chứng khoán Việt Nam khởi đầu năm mới đầy “hanh thông” nhờ diễn biến tích cực của nhóm ngân hàng.,Cổ phiếu vua “xông đất” sàn chứng trong năm mới
22,2024-02-05 13:46:00,"Kinh doanh tệ nhất từ khi niêm yết, giá cổ phiếu ST8 rơi 40% sau 2 tuần: Khép lại năm 2023, ST8 ghi nhận lãi ròng gần 4 tỷ đồng, giảm 82% so với năm 2022. Đây cũng là năm Doanh nghiệp kinh doanh tệ nhất kế từ khi niêm yết...","Kinh doanh tệ nhất từ khi niêm yết, giá cổ phiếu ST8 rơi 40% sau 2 tuần"
23,2024-02-04 20:20:00,Cổ phiếu ngân hàng kéo tụt VN-Index 2 tuần liên tiếp: Hai chỉ số thị trường trong tuần từ 29/01-02/02/2024 có diễn biến trái ngược nhau. VN-Index khép lại tuần giảm thứ 2 liên tiếp ở mức giảm 0.27% so...,Cổ phiếu ngân hàng kéo tụt VN-Index 2 tuần liên tiếp
24,2024-02-03 10:02:00,"Những mối đe dọa lớn nhất với sự ổn định kinh tế toàn cầu: Hiệp hội Kinh tế Quốc tế (IEA - International Economic Association) vừa kết thúc Hội nghị lần thứ 20 tại Medellín, Colombia. Sự kiện 3 năm 1 lần này...",Những mối đe dọa lớn nhất với sự ổn định kinh tế toàn cầu
25,2024-02-02 13:29:00,"Cổ đông của Than Miền Bắc ""ăn Tết lớn"": Giá cổ phiếu tăng hơn 40% trong 4 phiên: Cổ đông của CTCP Kinh doanh Than Miền Bắc - Vinacomin (HNX: TMB) được “phát quà” trước kỳ nghỉ Tết Nguyên đán: Một năm kinh doanh tăng trưởng mạnh và...","Cổ đông của Than Miền Bắc ""ăn Tết lớn"": Giá cổ phiếu tăng hơn 40% trong 4 phiên"
26,2024-02-01 20:00:00,"Thị trường chứng quyền 02/02/2024: Khối ngoại quay lại mua ròng: Kết thúc phiên giao dịch ngày 01/02/2024, toàn thị trường có 66 mã tăng, 68 mã giảm và 69 mã tham chiếu. Khối ngoại quay lại mua ròng với tổng mức...",Thị trường chứng quyền 02/02/2024: Khối ngoại quay lại mua ròng
27,2024-02-01 13:55:00,"EVNSPC muốn bán toàn bộ vốn tại SBH, giá khởi điểm 116,000 đồng/cp: EVNSPC mang đấu giá ra công chúng gần 9 triệu cp SBH với mức giá khởi điểm 116 ngàn đồng/cp, gấp đôi so với giá đóng cửa phiên 31/01.","EVNSPC muốn bán toàn bộ vốn tại SBH, giá khởi điểm 116,000 đồng/cp"
28,2024-01-31 20:00:00,"Thị trường chứng quyền 01/02/2024: Sắc đỏ bao trùm toàn thị trường: Kết thúc phiên giao dịch ngày 31/01/2024, toàn thị trường có 18 mã tăng, 140 mã giảm và 45 mã tham chiếu. Khối ngoại tiếp tục bán ròng với tổng mức...",Thị trường chứng quyền 01/02/2024: Sắc đỏ bao trùm toàn thị trường
29,2024-01-31 08:12:00,Top cổ phiếu đáng chú ý đầu phiên 31/01: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 31/01
