,Published_time,news_content,news_headline,Published_date
0,2024-02-14 01:08:00,"Thị trường chứng khoán 2024: Sẽ bớt những “cơn gió ngược”: Chỉ số VN-Index kết thúc năm 2023 với mức tăng trưởng 12,2% so với thời điểm cuối năm 2022. Đây là một kết quả không mấy lạc quan trong bối cảnh thị trường từng xuất hiện sóng tăng kéo dài 4 tháng với biên độ hơn 20%. Dù vậy, nếu đặt trong bức tranh tổng thể của nền kinh tế năm 2023 với nhiều “cơn gió ngược”, mức tăng trưởng như vậy cũng có thể coi là phù hợp...",Thị trường chứng khoán 2024: Sẽ bớt những “cơn gió ngược”,2024-02-14
1,2024-02-13 01:08:00,"Kinh tế và chứng khoán: Kỳ vọng cho năm 2024: . Thị trường chứng khoán Việt Nam, dù vậy, lại không khó đến như thế nhờ chính sách tiền tệ lỏng tiếp",Kinh tế và chứng khoán: Kỳ vọng cho năm 2024,2024-02-13
2,2024-02-08 02:53:31,"Ngày làm việc cuối cùng, SSC xử phạt một loạt công ty, cá nhân do vi phạm giao dịch:  khoán và Thị trường chứng khoán đối với một loạt công ty - trong đó, Công ty cổ phần ROX Living (Hà Nội","Ngày làm việc cuối cùng, SSC xử phạt một loạt công ty, cá nhân do vi phạm giao dịch",2024-02-08
3,2024-02-08 00:00:00,Mỹ chiếm gần một nửa tổng vốn hoá chứng khoán toàn cầu:  của Thị trường chứng khoán toàn cầu - mức độ tập trung vốn hoá cao nhất trong 2 thập kỷ trở lại đây...,Mỹ chiếm gần một nửa tổng vốn hoá chứng khoán toàn cầu,2024-02-08
4,2024-02-06 10:26:43,"Liên quan đến trái phiếu, hàng loạt công ty bị phạt tiền trước Tết:  khoán và Thị trường chứng khoán đối với các công ty sau do có hành vi không công bố đối với thông tin","Liên quan đến trái phiếu, hàng loạt công ty bị phạt tiền trước Tết",2024-02-06
5,2024-02-06 08:00:59,"Vi phạm nhiều lỗi, Vietjet bị phạt nặng:  chứng khoán và Thị trường chứng khoán đối với Công ty cổ phần Hàng không Vietjet (mã VJC-HOSE) với số","Vi phạm nhiều lỗi, Vietjet bị phạt nặng",2024-02-06
6,2024-02-02 01:02:04,"Không báo cáo về tình hình trái phiếu, thêm ba công ty bị phạt tiền:  Thị trường chứng khoán đối với Công ty cổ phần Địa ốc Sacom (Đồng Nai), Công ty cổ phần Công nghiệp","Không báo cáo về tình hình trái phiếu, thêm ba công ty bị phạt tiền",2024-02-02
7,2024-02-02 00:59:55,"Chứng khoán Mỹ bật xanh trong lúc chờ báo cáo việc làm, giá dầu tụt mạnh: Thị trường chứng khoán Mỹ tăng điểm mạnh trong phiên giao dịch ngày thứ Năm (1/2), đảo ngược phiên","Chứng khoán Mỹ bật xanh trong lúc chờ báo cáo việc làm, giá dầu tụt mạnh",2024-02-02
8,2024-01-30 06:55:11,"4 tỷ USD vốn ngoại đổ vào nếu chứng khoán Việt Nam được nâng hạng, những cổ phiếu nào sẽ được quan tâm?: Theo ước tính của BSC Research, trong trường hợp nếu MSCI và FTSE nâng hạng Việt Nam lên <em>thị</em> <em>trường</em>","4 tỷ USD vốn ngoại đổ vào nếu chứng khoán Việt Nam được nâng hạng, những cổ phiếu nào sẽ được quan tâm?",2024-01-30
9,2024-01-30 00:56:05,"Không công bố thông tin theo quy định, The Golden Group bị phạt tiền:  khoán và Thị trường chứng khoán đối với Công ty cổ phần The Golden Group (mã TGG-HOSE)...","Không công bố thông tin theo quy định, The Golden Group bị phạt tiền",2024-01-30
